key,url
game14,链接：https://pan.baidu.com/s/1SMPp_PthqSbz_r3cCIKRXg 提取码：osqu
查快递,链接：https://pan.baidu.com/s/1n3Mwq0DH_BjubWlysCVwlw 提取码：k4yl
s1,链接: https://pan.baidu.com/s/1ICZCQrQdSzrqyiSOfDOspQ 提取码: 4xsg
羊狼过河,链接：https://pan.baidu.com/s/11lwj0_q438D05vnUfVaC_A 提取码：kjqw 复制这段内容后打开百度网盘手机App，操作更方便哦
code6,链接: https://pan.baidu.com/s/1yYe6LujrI6OgTVqSdcOSpA 提取码: b9fk 复制这段内容后打开百度网盘手机App，操作更方便哦
code5,链接: https://pan.baidu.com/s/1rc82HFEI2Mtc0jR-iGY0tg 提取码: qxws
爱心,链接：https://pan.baidu.com/s/1WmuI0qUk4xqghbmnlipyKQ 提取码：37rb
樱花,链接：https://pan.baidu.com/s/1yh9bpb0eXW9t3LW2aXrwrA 提取码：ntjz 复制这段内容后打开百度网盘手机App，操作更方便哦
女儿情,链接：https://pan.baidu.com/s/1ihQNHQAuwVV4trFTNyA0ew 提取码：bzx3
code4,链接: https://pan.baidu.com/s/1hYxe5UOQNgNoPWuAF9e7Zg 提取码: bygh
图像卷积,链接：https://pan.baidu.com/s/1SE6KUqJjEvG_6w0ywCyIdA 提取码：fw4z
draw65,链接：https://pan.baidu.com/s/1pldf9HHN-4qSt711AhSiwQ 提取码：evmt 复制这段内容后打开百度网盘手机App，操作更方便哦
draw64,链接：https://pan.baidu.com/s/1nSTziLzCOzFIlPrBVfhb4A 提取码：9r3o 复制这段内容后打开百度网盘手机App，操作更方便哦
draw63,链接：https://pan.baidu.com/s/1F1K-ZrzwIAY4XxkycjYH5A 提取码：mzyb 复制这段内容后打开百度网盘手机App，操作更方便哦
draw62,链接：https://pan.baidu.com/s/1AjoPuzQpP1nP0Pu00oNZ5A 提取码：9o2r
draw61,链接：https://pan.baidu.com/s/1VcM58BhOmexq7bGK4Zbaww 提取码：v2f5
draw60,链接：https://pan.baidu.com/s/1yH9bt_W7wN35Ao-okh5C8A 提取码：r7ct 复制这段内容后打开百度网盘手机App，操作更方便哦
draw59,链接：https://pan.baidu.com/s/1Pq5fU1v7WhzIZPBfdB5OuQ 提取码：kdyv 复制这段内容后打开百度网盘手机App，操作更方便哦
draw58,链接：https://pan.baidu.com/s/1tN3UkGotKDYzKae2h4RBjQ 提取码：zh1a 复制这段内容后打开百度网盘手机App，操作更方便哦
draw57,链接：https://pan.baidu.com/s/1gmWlSgv4hxSz44ptgQeqqA 提取码：uq5g
draw56,链接：https://pan.baidu.com/s/1H0gqY7Kzp6nXnW5YHqMpdQ 提取码：h5hw 复制这段内容后打开百度网盘手机App，操作更方便哦
draw55,链接：https://pan.baidu.com/s/1y48oC1yVLqW78p40jrpZ5Q 提取码：g2yg 复制这段内容后打开百度网盘手机App，操作更方便哦
draw54,链接：https://pan.baidu.com/s/19YPMdfYFfj6nIIEwLuAVKg 提取码：v6a6
draw53,链接：https://pan.baidu.com/s/1UwEL3Os7wqXjItDJX74sCg 提取码：d9pt
draw52,链接：https://pan.baidu.com/s/1YOrPmA9sVqptnoRTaXljPA 提取码：chbj 复制这段内容后打开百度网盘手机App，操作更方便哦
抽象,链接：https://pan.baidu.com/s/1v_htJ35_8ngwks7mTq9MnQ 提取码：p47e 复制这段内容后打开百度网盘手机App，操作更方便哦
code3,链接: https://pan.baidu.com/s/1r7yCqc3u3_pVAfm0t4flTw 提取码: jfsa
素描,链接：https://pan.baidu.com/s/1m8Awxo4_dnboOQThPlKkCw 提取码：e1jd
简谱,链接：https://pan.baidu.com/s/1fsLdSEdoAkLmcQwKEtt3CQ 提取码：qsez 复制这段内容后打开百度网盘手机App，操作更方便哦
黑花,链接：https://pan.baidu.com/s/17ufIRMX0bAxsjgfLxxcueQ 提取码：dzni
钢琴,链接：https://pan.baidu.com/s/1jcrD4B2ulsLW_Kj0RZwqhw 提取码：gswd 复制这段内容后打开百度网盘手机App，操作更方便哦
code2,链接: https://pan.baidu.com/s/1rjFmexpDId4zil1zSv5CxQ 提取码: evg6
春节十二响,链接：https://pan.baidu.com/s/1Ni8KrP3GCuE7CdwACuD88A 提取码：pj2d
粒子动画,链接：https://pan.baidu.com/s/1sTSPaal9EZDrht-NOPT38Q 提取码：mi36
粒子动画,链接：https://pan.baidu.com/s/1plCB2z8MwVQcIJ9HdJU58A 提取码：3h8j 复制这段内容后打开百度网盘手机App，操作更方便哦
draw51,链接：https://pan.baidu.com/s/16Won-pnMcfkTQ1TWfLQzNw 提取码：4dve
draw50,链接：https://pan.baidu.com/s/1ShtjGsTL107aSWDt1Ky1kA 提取码：p9g3 复制这段内容后打开百度网盘手机App，操作更方便哦
draw49,链接：https://pan.baidu.com/s/1pZEncvDWI0lkiyol-2mU-w 提取码：ihtr
消灭病毒,链接：https://pan.baidu.com/s/1VAC3hVjixYdDoiGaVZA-Iw 提取码：qml2 复制这段内容后打开百度网盘手机App，操作更方便哦
draw48,链接：https://pan.baidu.com/s/1Q-g-1EkDyAm1xBNGuGl2PA 提取码：8kr4
draw47,链接：https://pan.baidu.com/s/1ax39sIETAfzcren4WYdGow 提取码：vjb2 复制这段内容后打开百度网盘手机App，操作更方便哦
draw46,链接：https://pan.baidu.com/s/13_cfm1SEqdb4pYDPe2GXcQ 提取码：ljb3 复制这段内容后打开百度网盘手机App，操作更方便哦
draw45,链接：https://pan.baidu.com/s/1Mb_CNi_-T-l-qvb1G6VF6w 提取码：lruv 复制这段内容后打开百度网盘手机App，操作更方便哦
draw44,链接：https://pan.baidu.com/s/1i5fgyQkTJq5ZQvT2WT46wg 提取码：91mt
draw43,链接：https://pan.baidu.com/s/1GXog8KZ74EaQ7WRoaICnAA 提取码：a1hu 复制这段内容后打开百度网盘手机App，操作更方便哦
draw42,链接：https://pan.baidu.com/s/1CtrNJXnGbrNeUREsgR1yWQ 提取码：fx6i 复制这段内容后打开百度网盘手机App，操作更方便哦
draw41,链接：https://pan.baidu.com/s/1ECy7z_-uDXEJpqhfNrWnuA 提取码：r5tg 复制这段内容后打开百度网盘手机App，操作更方便哦
draw40,链接：https://pan.baidu.com/s/19yEp4cZgL9K2xayLMgkpGA 提取码：838w 复制这段内容后打开百度网盘手机App，操作更方便哦
draw39,链接：https://pan.baidu.com/s/1GjsVWhOChp7iDUKBw-mowQ 提取码：dx2c 复制这段内容后打开百度网盘手机App，操作更方便哦
draw38,链接：https://pan.baidu.com/s/1iF3gM6_NpIJF0IeeVM1JTA 提取码：py0p
draw37,链接：https://pan.baidu.com/s/1gsn7OTczarnMCuGyW6f9Hw 提取码：2cay
draw36,draw36链接：https://pan.baidu.com/s/1V38hUWrLqAslXaRcQrcggA 提取码：wc5o 复制这段内容后打开百度网盘手机App，操作更方便哦
draw35,链接：https://pan.baidu.com/s/1AorhMnPyU2IjMk0ADQBH4Q 提取码：cwau 复制这段内容后打开百度网盘手机App，操作更方便哦
draw34,链接：https://pan.baidu.com/s/1ODNSlIti16VLQlYV01riZA 提取码：p5qh 复制这段内容后打开百度网盘手机App，操作更方便哦
draw33,链接：https://pan.baidu.com/s/1xqZfCPjSYZgpc4WQnwOQFQ 提取码：7bzp 复制这段内容后打开百度网盘手机App，操作更方便哦
draw32,链接：https://pan.baidu.com/s/1lu-3gsxWhHN9efv48jog5g 提取码：203x
draw31,链接：https://pan.baidu.com/s/1NEtIsUHIDnxiApAzrsAM8Q 提取码：3mno 复制这段内容后打开百度网盘手机App，操作更方便哦
镜像源,清华：https://pypi.tuna.tsinghua.edu.cn/simple\n 阿里云：http://mirrors.aliyun.com/pypi/simple/\n\n中国科技大学 https://pypi.mirrors.ustc.edu.cn/simple/\n\n华中理工大学：http://pypi.hustunique.com/\n\n山东理工大学：http://pypi.sdutlinux.org/ \n\n豆瓣：http://pypi.douban.com/simple/
code1,链接: https://pan.baidu.com/s/1tQ3oVOS1RDE6yyCAL9FdoQ 提取码: 83tj 复制这段内容后打开百度网盘手机App，操作更方便哦
draw30,链接：https://pan.baidu.com/s/11ZQmNLLklPWMHb-6PsF4gw 提取码：onfq
draw29,链接：https://pan.baidu.com/s/1GPANcsFjMPN_WWvGQKjskA 提取码：f3sk
draw28,链接：https://pan.baidu.com/s/1U-8tHj3NO1PZSpmhXiwqHg 提取码：p5ws
draw27,链接：https://pan.baidu.com/s/1CYOMWhJJ4U_FJMfi9-wOCg 提取码：dasm 复制这段内容后打开百度网盘手机App，操作更方便哦
draw26,链接：https://pan.baidu.com/s/1ucgy2HwqGc9_5odak1B7ZA 提取码：2tt0
draw25,链接：https://pan.baidu.com/s/1jsAIgTJPccfAHayGyytwCg 提取码：lp9w 复制这段内容后打开百度网盘手机App，操作更方便哦
draw24,链接：https://pan.baidu.com/s/10Dbd76WDrNfaQOLpbPoyjQ 提取码：w5na
draw23,链接：https://pan.baidu.com/s/1nMUPkvt7aOe_MSU_1Tcb7Q 提取码：io1f
draw22,链接：https://pan.baidu.com/s/1bMaQ5Im0teTsWQG0z8yb5Q 提取码：sj8i 复制这段内容后打开百度网盘手机App，操作更方便哦
draw21,链接：https://pan.baidu.com/s/1hkCRTsINRtjRZ5BDf7F98A 提取码：4bwi
draw20,链接：https://pan.baidu.com/s/1jW_jInfYBuuRY24qZVbkLQ 提取码：66g8
draw19,链接：https://pan.baidu.com/s/1BpYK9ApZhZB1PrWfD-j73A 提取码：nzzi
draw18,链接：https://pan.baidu.com/s/1JRq55OdFbKX5RuxjsbGwuA 提取码：64v5 复制这段内容后打开百度网盘手机App，操作更方便哦
draw17,draw17链接：https://pan.baidu.com/s/1Q1CT3fWW2pbERdPQakgMmg 提取码：tzpt
draw16,draw16链接：https://pan.baidu.com/s/1EdgIBx_hX-slXoCaGvRlmw 提取码：k84d 复制这段内容后打开百度网盘手机App，操作更方便哦
draw15,链接：https://pan.baidu.com/s/1B98YHPmFWcZQMs1lW6j-QQ 提取码：j63h
draw14,链接：https://pan.baidu.com/s/1mD6lQdD9RlFbIgweXv11CQ 提取码：xpqw
draw13,链接：https://pan.baidu.com/s/1ka3n3ghOJ6JlVP4cdeOq-g 提取码：r832
draw12,链接：https://pan.baidu.com/s/1zb5jf3SxQ9nUF0f8SKgk-A 提取码：691z
draw11,链接：https://pan.baidu.com/s/17wUkRF4KBYssTbXhR_SKLw 提取码：sfm8
draw10,链接：https://pan.baidu.com/s/10skMRNQIqFu_XSuqcsCkyw 提取码：74si 复制这段内容后打开百度网盘手机App，操作更方便哦
draw9,链接：https://pan.baidu.com/s/1SrHlDxQZeuWrhY25EPIe4A 提取码：ylqy
draw8,链接：https://pan.baidu.com/s/1TInb5sb4pSeaDxQ2koPmoA 提取码：63kq
draw7,链接：https://pan.baidu.com/s/1qcOhzIiRKzrwYYi3VqZ7wQ 提取码：uubh
draw6,链接：https://pan.baidu.com/s/1JmvM460hNEs48ygA7k3JDw 提取码：8yza
draw5,链接：https://pan.baidu.com/s/1StnfTO8N70EvHfLQFpFYoQ 提取码：92hz
draw4,链接：https://pan.baidu.com/s/1DxtgY7hE5AzbsHV3gankhw 提取码：ngam 复制这段内容后打开百度网盘手机App，操作更方便哦
draw3,链接：https://pan.baidu.com/s/1nXMsCplFORvu0bZ2afOapQ 提取码：5kmy 复制这段内容后打开百度网盘手机App，操作更方便哦
draw2,链接：https://pan.baidu.com/s/13XRa63bXuDu2n5I6XGTDkA 提取码：t0iz
draw1,链接：https://pan.baidu.com/s/1aB-_1QLaayWuXBOYaaW6PA 提取码：fqy4
国外疫情数据,链接：https://pan.baidu.com/s/11ALyPHw9jETcL3UW4An3Rg 提取码：stn9 复制这段内容后打开百度网盘手机App，操作更方便哦
game13,百度网盘链接：https://pan.baidu.com/s/1W1utBNFCKIwfkpAdJag5WA 提取码：jlet
game12,链接：https://pan.baidu.com/s/1Cxa6k_QNo7sqy7IT1PVRgg 提取码：ms6z 复制这段内容后打开百度网盘手机App，操作更方便哦
game11,链接：https://pan.baidu.com/s/1bPhsN2Rjd6Gxg6z4knB0JA 提取码：hv20
game10,链接：https://pan.baidu.com/s/11VJDTWF3srurE2tJygfrxg 提取码：jpbf
game9,链接：https://pan.baidu.com/s/1R30YLOBUSG9AQBC0_2pVHA 提取码：vl81
game8,链接：https://pan.baidu.com/s/1ZM0mdr3aiIJLGKpcHnzhLA 提取码：a8hx
game7,链接：https://pan.baidu.com/s/1GG8O3PY8nfvXeGXEQ-QAsA 提取码：wr28
照片墙,百度网盘：链接：https://pan.baidu.com/s/1DfSU8yitsNsN3mVEZsRncA 提取码：n003
高效表白,链接：https://pan.baidu.com/s/1zmL0C2A_OEIgqJJSJzzaPg 提取码：1urf
风火轮a,链接：https://pan.baidu.com/s/1KPEtDp_vcQC9zSX0FinDag 提取码：d0ob
科幻小说,链接：https://pan.baidu.com/s/1ta37OdHDy743MEZ6a7pGsg 提取码：qqda
爬取唐诗,链接：https://pan.baidu.com/s/1Ab3IlO5R3bs-BuKgV6juzQ 提取码：ufgu
爬取视频,链接：https://pan.baidu.com/s/1GLWgzF9nAiI-oXUT8wLwxg 提取码：xzyg
爬取视频,链接：https://pan.baidu.com/s/1GLWgzF9nAiI-oXUT8wLwxg 提取码：xzyg
历代行政图,链接：https://pan.baidu.com/s/1VCg1rF4_wbiOyTWbpn0M4A 提取码：jgo7
熊猫a,链接：https://pan.baidu.com/s/1pTiOsi2DnLPS9rn_o3ORpQ 提取码：1run
表白贺卡,链接：https://pan.baidu.com/s/1KTsnImkScxobAjDA-kIlIg 提取码：2nwi
大雄,链接：https://pan.baidu.com/s/1ntKRqXKwn07nC_VC8Hl0bA 提取码：ldee 复制这段内容后打开百度网盘手机App，操作更方便哦
爬取IP,链接：https://pan.baidu.com/s/1jJhjQstq-V0z3CVTaqKS4Q 提取码：5x3r
皮卡丘,链接：https://pan.baidu.com/s/1GWgfyv5xH4xA6uxZmZHKCg 提取码：5o83
黑花a,链接：https://pan.baidu.com/s/17ufIRMX0bAxsjgfLxxcueQ 提取码：dzni
太阳a,链接：https://pan.baidu.com/s/1tb-H72Y-sSL2E-1drYhp5Q 提取码：wb2o 复制这段内容后打开百度网盘手机App，操作更方便哦
乱七八糟a,链接：https://pan.baidu.com/s/1PrYylaasIBnGCRfMLonaZQ 提取码：wkrq 复制这段内容后打开百度网盘手机App，操作更方便哦
红花a,链接：https://pan.baidu.com/s/1ueQHA3Nqj9Q_pP1_UmwQNA 提取码：8ydb
皮卡丘a,链接：https://pan.baidu.com/s/1z-95TSR_nk-kP7bLvVO3jg 提取码：q7i5 复制这段内容后打开百度网盘手机App，操作更方便哦
玫瑰a,链接：https://pan.baidu.com/s/1lmt_vvCIR_dAmxijAiI5Iw 提取码：8vuq
金字塔a,链接：https://pan.baidu.com/s/1LKtPCYvJ_2NpRTxVntL5Kg 提取码：8awx
花a,链接：https://pan.baidu.com/s/1AmVVCJtu4amLnahDsef_5A 提取码：fjol
画a,链接：https://pan.baidu.com/s/1Br9cZYZ4BGdiSr4F2XOZtw 提取码：vsbm 复制这段内容后打开百度网盘手机App，操作更方便哦
蓝色花a,链接：https://pan.baidu.com/s/1ZviQuFHrma6mdSdRrcuV1g 提取码：gk86 复制这段内容后打开百度网盘手机App，操作更方便哦
小蛋糕,链接：https://pan.baidu.com/s/1ugVZmU2GJAcTiaYgUEkJNQ 提取码：n9d3
疫情数学模型,链接：https://pan.baidu.com/s/1K93Y6KzLteIoRHCb_DIqCA 提取码：azlx
爬取疫情,链接：https://pan.baidu.com/s/1mnjaaqgWZYqdm0q758SSZw 提取码：v5ql
肺炎数学模型,链接：https://pan.baidu.com/s/1K93Y6KzLteIoRHCb_DIqCA 提取码：azlx
shp,链接：https://pan.baidu.com/s/1LFmzQsco5LBDPTxsiSM9Xg 提取码：jorf
颜值2,链接：https://pan.baidu.com/s/1-Bwhiwv6wdjDI34EunORCg 提取码：7p54
颜值打分器,链接：https://pan.baidu.com/s/1-Bwhiwv6wdjDI34EunORCg 提取码：7p54
淘宝口罩,链接：https://pan.baidu.com/s/1ETSYM8qhCED1-pR0q6IUFA 提取码：wbaf 复制这段内容后打开百度网盘手机App，操作更方便哦
岗位爬虫,链接：https://pan.baidu.com/s/1dBINDgv6KSgwY6tXXaYeVQ 提取码：ujg6 复制这段内容后打开百度网盘手机App，操作更方便哦
路飞,链接：https://pan.baidu.com/s/1vw2nMhWzOoPg-pZF2AFXng 提取码：crxt 复制这段内容后打开百度网盘手机App，操作更方便哦
排序算法,链接：https://pan.baidu.com/s/1QHOMFLoZLiT7d9Qs6_cxDA 提取码：fn4k 复制这段内容后打开百度网盘手机App，操作更方便哦
colorbar,链接：https://pan.baidu.com/s/1wsaFFXZvVzC-D8jCPXrrUg 提取码：i528 复制这段内容后打开百度网盘手机App，操作更方便哦
game5,链接：https://pan.baidu.com/s/1RCoAaPYGkjifAwieA5bohg 提取码：w977 复制这段内容后打开百度网盘手机App，操作更方便哦
妹子图,链接：https://pan.baidu.com/s/1jHFwCr9TXsRpNyGGttzlmw 提取码：1nyq 复制这段内容后打开百度网盘手机App，操作更方便哦
五子棋,链接：https://pan.baidu.com/s/1qr1l38W9ZAxhjNseqy8jQg 提取码：d8fr 复制这段内容后打开百度网盘手机App，操作更方便哦
随机飘落,链接：https://pan.baidu.com/s/1J0Vvu7oQZwuAOrCiZQ-Hxw 提取码：xu6m
表白,链接：https://pan.baidu.com/s/1uBKpZ-8ad2AZnKTH-QbbgQ 提取码：38jr
彩色光球,链接：https://pan.baidu.com/s/1vbrAX_GG62u9H0rEXlpPvA 提取码：1mqi
弹簧隧道,链接：https://pan.baidu.com/s/1zRQi44bptB-zrWwydxIobg 提取码：5nw3 复制这段内容后打开百度网盘手机App，操作更方便哦
蛋糕,链接：https://pan.baidu.com/s/1XMZX3Bs5zmXPSdZOMpNROQ 提取码：2hal 复制这段内容后打开百度网盘手机App，操作更方便哦
小黄人,链接：https://pan.baidu.com/s/1L-a3yHrsH1IzC6TvivJVEw 提取码：5k1z
圣诞树,链接：https://pan.baidu.com/s/1pmTFVAK1odZmW5ps1ZYQ5Q 提取码：7on4
彩色螺旋线,链接：https://pan.baidu.com/s/1cQJq5Iwz0SV2_yhzFtTNXA 提取码：x335 复制这段内容后打开百度网盘手机App，操作更方便哦
小姐姐图,链接：https://pan.baidu.com/s/1h870cMqAGhEBakJ9RnLJZA 提取码：nnwk
game4,链接：https://pan.baidu.com/s/1FRRDQucnaPjpTdpB1GRJ7Q 提取码：c1bv
